2026-09-13 15:05:19 | INFO     | __main__ | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:06:10 | INFO     | pipeline | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 15:06:10 | INFO     | pipeline | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 15:06:10 | INFO     | pipeline | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 15:06:10 | WARNING  | pipeline | Removed 17 exact duplicate rows.
2026-09-13 15:06:11 | WARNING  | pipeline | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 15:06:11 | WARNING  | pipeline | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
2026-09-13 15:06:11 | WARNING  | pipeline | Found 1 rows with physically implausible 'rain_1h' readings (> 1000mm/hour): [9831.3]
2026-09-13 15:06:11 | WARNING  | pipeline | Imputed 4 missing 'temp' value(s) in month 1 using that month's median (265.48).
2026-09-13 15:06:11 | WARNING  | pipeline | Imputed 6 missing 'temp' value(s) in month 2 using that month's median (265.89).
2026-09-13 15:06:11 | WARNING  | pipeline | Imputed 1 missing 'rain_1h' value(s) in month 7 using that month's median (0.00).
2026-09-13 15:06:11 | INFO     | pipeline | Pipeline completed successfully. Final shape: 40575 rows, 9 columns.
2026-09-13 15:06:11 | INFO     | __main__ | Feature engineering started. Input shape: 40575 rows, 9 columns.
2026-09-13 15:06:11 | INFO     | __main__ | Added time features: hour, day_of_week, is_weekend, hour_sin, hour_cos.
2026-09-13 15:06:11 | INFO     | __main__ | One-hot encoded 'weather_main' into 11 columns (prefix 'wx_').
2026-09-13 15:06:11 | INFO     | __main__ | Added 'is_severe_weather' indicator (['Thunderstorm', 'Squall']); 454 of 40575 rows flagged.
2026-09-13 15:06:11 | DEBUG    | __main__ | 'temp' scaling parameters: mean=281.3823, std=13.0939.
2026-09-13 15:06:11 | DEBUG    | __main__ | 'traffic_volume' scaling parameters: mean=3290.6505, std=1984.7729.
2026-09-13 15:06:11 | INFO     | __main__ | Created scaled versions of: ['temp', 'traffic_volume'].
2026-09-13 15:06:11 | DEBUG    | __main__ | Congestion category thresholds for 'traffic_volume': Q1=1248.50, Q3=4952.00.
2026-09-13 15:06:11 | INFO     | __main__ | Created 'congestion_category' (Low <= 1248.50, Medium, High > 4952.00): {'Medium': 20289, 'Low': 10144, 'High': 10142}
2026-09-13 15:06:11 | INFO     | __main__ | Feature engineering completed. Output shape: 40575 rows, 29 columns.
2026-09-13 15:06:37 | INFO     | pipeline | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:06:37 | INFO     | pipeline | Loaded 48204 rows and 9 columns
2026-09-13 15:06:37 | INFO     | pipeline | Schema validation passed: all 9 expected columns are present.
2026-09-13 15:06:37 | INFO     | pipeline | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 15:06:37 | WARNING  | pipeline | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
2026-09-13 15:06:37 | INFO     | pipeline | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 15:06:37 | INFO     | pipeline | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 15:06:37 | INFO     | pipeline | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 15:06:37 | WARNING  | pipeline | Removed 17 exact duplicate rows.
2026-09-13 15:06:37 | WARNING  | pipeline | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 15:06:37 | WARNING  | pipeline | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
2026-09-13 15:06:37 | WARNING  | pipeline | Found 1 rows with physically implausible 'rain_1h' readings (> 1000mm/hour): [9831.3]
2026-09-13 15:06:37 | WARNING  | pipeline | Imputed 4 missing 'temp' value(s) in month 1 using that month's median (265.48).
2026-09-13 15:06:37 | WARNING  | pipeline | Imputed 6 missing 'temp' value(s) in month 2 using that month's median (265.89).
2026-09-13 15:06:37 | WARNING  | pipeline | Imputed 1 missing 'rain_1h' value(s) in month 7 using that month's median (0.00).
2026-09-13 15:06:37 | INFO     | pipeline | Pipeline completed successfully. Final shape: 40575 rows, 9 columns.
2026-09-13 15:06:37 | INFO     | feature_engineering | Feature engineering started. Input shape: 40575 rows, 9 columns.
2026-09-13 15:06:37 | INFO     | feature_engineering | Added time features: hour, day_of_week, is_weekend, hour_sin, hour_cos.
2026-09-13 15:06:37 | INFO     | feature_engineering | One-hot encoded 'weather_main' into 11 columns (prefix 'wx_').
2026-09-13 15:06:37 | INFO     | feature_engineering | Added 'is_severe_weather' indicator (['Thunderstorm', 'Squall']); 454 of 40575 rows flagged.
2026-09-13 15:06:37 | DEBUG    | feature_engineering | 'temp' scaling parameters: mean=281.3823, std=13.0939.
2026-09-13 15:06:37 | DEBUG    | feature_engineering | 'traffic_volume' scaling parameters: mean=3290.6505, std=1984.7729.
2026-09-13 15:06:37 | INFO     | feature_engineering | Created scaled versions of: ['temp', 'traffic_volume'].
2026-09-13 15:06:37 | DEBUG    | feature_engineering | Congestion category thresholds for 'traffic_volume': Q1=1248.50, Q3=4952.00.
2026-09-13 15:06:37 | INFO     | feature_engineering | Created 'congestion_category' (Low <= 1248.50, Medium, High > 4952.00): {'Medium': 20289, 'Low': 10144, 'High': 10142}
2026-09-13 15:06:37 | INFO     | feature_engineering | Feature engineering completed. Output shape: 40575 rows, 29 columns.
2026-09-13 15:06:38 | INFO     | __main__ | Saved figure: C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\part2_python\figures\traffic_by_hour.png
2026-09-13 15:06:38 | INFO     | __main__ | Saved figure: C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\part2_python\figures\weekday_vs_weekend.png
2026-09-13 15:06:38 | INFO     | __main__ | Saved figure: C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\part2_python\figures\traffic_distribution.png
2026-09-13 15:06:38 | INFO     | __main__ | Saved figure: C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\part2_python\figures\traffic_by_weather.png
2026-09-13 15:06:38 | INFO     | __main__ | All Task 3 visualisations generated.
2026-09-13 15:07:20 | INFO     | __main__ | Command 'query' invoked with arguments: {'datetime': '2018-06-15 08:00:00'}
2026-09-13 15:07:20 | INFO     | pipeline | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:07:20 | INFO     | pipeline | Loaded 48204 rows and 9 columns
2026-09-13 15:07:20 | INFO     | pipeline | Schema validation passed: all 9 expected columns are present.
2026-09-13 15:07:20 | INFO     | pipeline | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 15:07:20 | WARNING  | pipeline | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
2026-09-13 15:07:20 | INFO     | pipeline | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 15:07:20 | INFO     | pipeline | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 15:07:20 | INFO     | pipeline | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 15:07:20 | WARNING  | pipeline | Removed 17 exact duplicate rows.
2026-09-13 15:07:21 | WARNING  | pipeline | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 15:07:21 | WARNING  | pipeline | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
2026-09-13 15:07:21 | WARNING  | pipeline | Found 1 rows with physically implausible 'rain_1h' readings (> 1000mm/hour): [9831.3]
2026-09-13 15:07:21 | WARNING  | pipeline | Imputed 4 missing 'temp' value(s) in month 1 using that month's median (265.48).
2026-09-13 15:07:21 | WARNING  | pipeline | Imputed 6 missing 'temp' value(s) in month 2 using that month's median (265.89).
2026-09-13 15:07:21 | WARNING  | pipeline | Imputed 1 missing 'rain_1h' value(s) in month 7 using that month's median (0.00).
2026-09-13 15:07:21 | INFO     | pipeline | Pipeline completed successfully. Final shape: 40575 rows, 9 columns.
2026-09-13 15:07:21 | INFO     | feature_engineering | Feature engineering started. Input shape: 40575 rows, 9 columns.
2026-09-13 15:07:21 | INFO     | feature_engineering | Added time features: hour, day_of_week, is_weekend, hour_sin, hour_cos.
2026-09-13 15:07:21 | INFO     | feature_engineering | One-hot encoded 'weather_main' into 11 columns (prefix 'wx_').
2026-09-13 15:07:21 | INFO     | feature_engineering | Added 'is_severe_weather' indicator (['Thunderstorm', 'Squall']); 454 of 40575 rows flagged.
2026-09-13 15:07:21 | DEBUG    | feature_engineering | 'temp' scaling parameters: mean=281.3823, std=13.0939.
2026-09-13 15:07:21 | DEBUG    | feature_engineering | 'traffic_volume' scaling parameters: mean=3290.6505, std=1984.7729.
2026-09-13 15:07:21 | INFO     | feature_engineering | Created scaled versions of: ['temp', 'traffic_volume'].
2026-09-13 15:07:21 | DEBUG    | feature_engineering | Congestion category thresholds for 'traffic_volume': Q1=1248.50, Q3=4952.00.
2026-09-13 15:07:21 | INFO     | feature_engineering | Created 'congestion_category' (Low <= 1248.50, Medium, High > 4952.00): {'Medium': 20289, 'Low': 10144, 'High': 10142}
2026-09-13 15:07:21 | INFO     | feature_engineering | Feature engineering completed. Output shape: 40575 rows, 29 columns.
2026-09-13 15:07:55 | INFO     | __main__ | Command 'peak-hours' invoked with arguments: {'top': 5}
2026-09-13 15:07:55 | INFO     | pipeline | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:07:55 | INFO     | pipeline | Loaded 48204 rows and 9 columns
2026-09-13 15:07:55 | INFO     | pipeline | Schema validation passed: all 9 expected columns are present.
2026-09-13 15:07:55 | INFO     | pipeline | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 15:07:55 | WARNING  | pipeline | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
2026-09-13 15:07:55 | INFO     | pipeline | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 15:07:55 | INFO     | pipeline | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 15:07:55 | INFO     | pipeline | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 15:07:55 | WARNING  | pipeline | Removed 17 exact duplicate rows.
2026-09-13 15:07:56 | WARNING  | pipeline | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 15:07:56 | WARNING  | pipeline | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
2026-09-13 15:07:56 | WARNING  | pipeline | Found 1 rows with physically implausible 'rain_1h' readings (> 1000mm/hour): [9831.3]
2026-09-13 15:07:56 | WARNING  | pipeline | Imputed 4 missing 'temp' value(s) in month 1 using that month's median (265.48).
2026-09-13 15:07:56 | WARNING  | pipeline | Imputed 6 missing 'temp' value(s) in month 2 using that month's median (265.89).
2026-09-13 15:07:56 | WARNING  | pipeline | Imputed 1 missing 'rain_1h' value(s) in month 7 using that month's median (0.00).
2026-09-13 15:07:56 | INFO     | pipeline | Pipeline completed successfully. Final shape: 40575 rows, 9 columns.
2026-09-13 15:07:56 | INFO     | feature_engineering | Feature engineering started. Input shape: 40575 rows, 9 columns.
2026-09-13 15:07:56 | INFO     | feature_engineering | Added time features: hour, day_of_week, is_weekend, hour_sin, hour_cos.
2026-09-13 15:07:56 | INFO     | feature_engineering | One-hot encoded 'weather_main' into 11 columns (prefix 'wx_').
2026-09-13 15:07:56 | INFO     | feature_engineering | Added 'is_severe_weather' indicator (['Thunderstorm', 'Squall']); 454 of 40575 rows flagged.
2026-09-13 15:07:56 | DEBUG    | feature_engineering | 'temp' scaling parameters: mean=281.3823, std=13.0939.
2026-09-13 15:07:56 | DEBUG    | feature_engineering | 'traffic_volume' scaling parameters: mean=3290.6505, std=1984.7729.
2026-09-13 15:07:56 | INFO     | feature_engineering | Created scaled versions of: ['temp', 'traffic_volume'].
2026-09-13 15:07:56 | DEBUG    | feature_engineering | Congestion category thresholds for 'traffic_volume': Q1=1248.50, Q3=4952.00.
2026-09-13 15:07:56 | INFO     | feature_engineering | Created 'congestion_category' (Low <= 1248.50, Medium, High > 4952.00): {'Medium': 20289, 'Low': 10144, 'High': 10142}
2026-09-13 15:07:56 | INFO     | feature_engineering | Feature engineering completed. Output shape: 40575 rows, 29 columns.
2026-09-13 15:08:22 | INFO     | __main__ | Command 'compare-weekday-weekend' invoked with arguments: {}
2026-09-13 15:08:22 | INFO     | pipeline | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:08:22 | INFO     | pipeline | Loaded 48204 rows and 9 columns
2026-09-13 15:08:22 | INFO     | pipeline | Schema validation passed: all 9 expected columns are present.
2026-09-13 15:08:22 | INFO     | pipeline | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 15:08:22 | WARNING  | pipeline | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
2026-09-13 15:08:22 | INFO     | pipeline | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 15:08:22 | INFO     | pipeline | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 15:08:22 | INFO     | pipeline | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 15:08:22 | WARNING  | pipeline | Removed 17 exact duplicate rows.
2026-09-13 15:08:23 | WARNING  | pipeline | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 15:08:23 | WARNING  | pipeline | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
2026-09-13 15:08:23 | WARNING  | pipeline | Found 1 rows with physically implausible 'rain_1h' readings (> 1000mm/hour): [9831.3]
2026-09-13 15:08:23 | WARNING  | pipeline | Imputed 4 missing 'temp' value(s) in month 1 using that month's median (265.48).
2026-09-13 15:08:23 | WARNING  | pipeline | Imputed 6 missing 'temp' value(s) in month 2 using that month's median (265.89).
2026-09-13 15:08:23 | WARNING  | pipeline | Imputed 1 missing 'rain_1h' value(s) in month 7 using that month's median (0.00).
2026-09-13 15:08:23 | INFO     | pipeline | Pipeline completed successfully. Final shape: 40575 rows, 9 columns.
2026-09-13 15:08:23 | INFO     | feature_engineering | Feature engineering started. Input shape: 40575 rows, 9 columns.
2026-09-13 15:08:23 | INFO     | feature_engineering | Added time features: hour, day_of_week, is_weekend, hour_sin, hour_cos.
2026-09-13 15:08:23 | INFO     | feature_engineering | One-hot encoded 'weather_main' into 11 columns (prefix 'wx_').
2026-09-13 15:08:23 | INFO     | feature_engineering | Added 'is_severe_weather' indicator (['Thunderstorm', 'Squall']); 454 of 40575 rows flagged.
2026-09-13 15:08:23 | DEBUG    | feature_engineering | 'temp' scaling parameters: mean=281.3823, std=13.0939.
2026-09-13 15:08:23 | DEBUG    | feature_engineering | 'traffic_volume' scaling parameters: mean=3290.6505, std=1984.7729.
2026-09-13 15:08:23 | INFO     | feature_engineering | Created scaled versions of: ['temp', 'traffic_volume'].
2026-09-13 15:08:23 | DEBUG    | feature_engineering | Congestion category thresholds for 'traffic_volume': Q1=1248.50, Q3=4952.00.
2026-09-13 15:08:23 | INFO     | feature_engineering | Created 'congestion_category' (Low <= 1248.50, Medium, High > 4952.00): {'Medium': 20289, 'Low': 10144, 'High': 10142}
2026-09-13 15:08:23 | INFO     | feature_engineering | Feature engineering completed. Output shape: 40575 rows, 29 columns.
2026-09-13 15:08:46 | INFO     | __main__ | Command 'recommend' invoked with arguments: {'top': 5}
2026-09-13 15:08:46 | INFO     | pipeline | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:08:46 | INFO     | pipeline | Loaded 48204 rows and 9 columns
2026-09-13 15:08:46 | INFO     | pipeline | Schema validation passed: all 9 expected columns are present.
2026-09-13 15:08:46 | INFO     | pipeline | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 15:08:46 | WARNING  | pipeline | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
2026-09-13 15:08:46 | INFO     | pipeline | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 15:08:46 | INFO     | pipeline | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 15:08:46 | INFO     | pipeline | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 15:08:46 | WARNING  | pipeline | Removed 17 exact duplicate rows.
2026-09-13 15:08:46 | WARNING  | pipeline | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 15:08:46 | WARNING  | pipeline | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
2026-09-13 15:08:46 | WARNING  | pipeline | Found 1 rows with physically implausible 'rain_1h' readings (> 1000mm/hour): [9831.3]
2026-09-13 15:08:46 | WARNING  | pipeline | Imputed 4 missing 'temp' value(s) in month 1 using that month's median (265.48).
2026-09-13 15:08:46 | WARNING  | pipeline | Imputed 6 missing 'temp' value(s) in month 2 using that month's median (265.89).
2026-09-13 15:08:46 | WARNING  | pipeline | Imputed 1 missing 'rain_1h' value(s) in month 7 using that month's median (0.00).
2026-09-13 15:08:46 | INFO     | pipeline | Pipeline completed successfully. Final shape: 40575 rows, 9 columns.
2026-09-13 15:08:46 | INFO     | feature_engineering | Feature engineering started. Input shape: 40575 rows, 9 columns.
2026-09-13 15:08:46 | INFO     | feature_engineering | Added time features: hour, day_of_week, is_weekend, hour_sin, hour_cos.
2026-09-13 15:08:46 | INFO     | feature_engineering | One-hot encoded 'weather_main' into 11 columns (prefix 'wx_').
2026-09-13 15:08:46 | INFO     | feature_engineering | Added 'is_severe_weather' indicator (['Thunderstorm', 'Squall']); 454 of 40575 rows flagged.
2026-09-13 15:08:46 | DEBUG    | feature_engineering | 'temp' scaling parameters: mean=281.3823, std=13.0939.
2026-09-13 15:08:46 | DEBUG    | feature_engineering | 'traffic_volume' scaling parameters: mean=3290.6505, std=1984.7729.
2026-09-13 15:08:46 | INFO     | feature_engineering | Created scaled versions of: ['temp', 'traffic_volume'].
2026-09-13 15:08:46 | DEBUG    | feature_engineering | Congestion category thresholds for 'traffic_volume': Q1=1248.50, Q3=4952.00.
2026-09-13 15:08:46 | INFO     | feature_engineering | Created 'congestion_category' (Low <= 1248.50, Medium, High > 4952.00): {'Medium': 20289, 'Low': 10144, 'High': 10142}
2026-09-13 15:08:46 | INFO     | feature_engineering | Feature engineering completed. Output shape: 40575 rows, 29 columns.
2026-09-13 15:09:08 | INFO     | __main__ | Command 'query' invoked with arguments: {'datetime': 'not-a-real-date'}
2026-09-13 15:09:08 | INFO     | pipeline | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 15:09:08 | INFO     | pipeline | Loaded 48204 rows and 9 columns
2026-09-13 15:09:08 | INFO     | pipeline | Schema validation passed: all 9 expected columns are present.
2026-09-13 15:09:08 | INFO     | pipeline | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 15:09:08 | WARNING  | pipeline | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
2026-09-13 15:09:08 | INFO     | pipeline | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 15:09:08 | INFO     | pipeline | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 15:09:08 | INFO     | pipeline | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 15:09:08 | WARNING  | pipeline | Removed 17 exact duplicate rows.
2026-09-13 15:09:08 | WARNING  | pipeline | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 15:09:08 | WARNING  | pipeline | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
2026-09-13 15:09:08 | WARNING  | pipeline | Found 1 rows with physically implausible 'rain_1h' readings (> 1000mm/hour): [9831.3]
2026-09-13 15:09:08 | WARNING  | pipeline | Imputed 4 missing 'temp' value(s) in month 1 using that month's median (265.48).
2026-09-13 15:09:08 | WARNING  | pipeline | Imputed 6 missing 'temp' value(s) in month 2 using that month's median (265.89).
2026-09-13 15:09:08 | WARNING  | pipeline | Imputed 1 missing 'rain_1h' value(s) in month 7 using that month's median (0.00).
2026-09-13 15:09:08 | INFO     | pipeline | Pipeline completed successfully. Final shape: 40575 rows, 9 columns.
2026-09-13 15:09:08 | INFO     | feature_engineering | Feature engineering started. Input shape: 40575 rows, 9 columns.
2026-09-13 15:09:08 | INFO     | feature_engineering | Added time features: hour, day_of_week, is_weekend, hour_sin, hour_cos.
2026-09-13 15:09:08 | INFO     | feature_engineering | One-hot encoded 'weather_main' into 11 columns (prefix 'wx_').
2026-09-13 15:09:08 | INFO     | feature_engineering | Added 'is_severe_weather' indicator (['Thunderstorm', 'Squall']); 454 of 40575 rows flagged.
2026-09-13 15:09:08 | DEBUG    | feature_engineering | 'temp' scaling parameters: mean=281.3823, std=13.0939.
2026-09-13 15:09:08 | DEBUG    | feature_engineering | 'traffic_volume' scaling parameters: mean=3290.6505, std=1984.7729.
2026-09-13 15:09:08 | INFO     | feature_engineering | Created scaled versions of: ['temp', 'traffic_volume'].
2026-09-13 15:09:08 | DEBUG    | feature_engineering | Congestion category thresholds for 'traffic_volume': Q1=1248.50, Q3=4952.00.
2026-09-13 15:09:08 | INFO     | feature_engineering | Created 'congestion_category' (Low <= 1248.50, Medium, High > 4952.00): {'Medium': 20289, 'Low': 10144, 'High': 10142}
2026-09-13 15:09:08 | INFO     | feature_engineering | Feature engineering completed. Output shape: 40575 rows, 29 columns.
2026-09-13 15:09:08 | ERROR    | __main__ | Invalid input for command 'query': Unknown datetime string format, unable to parse: not-a-real-date, at position 0
2026-09-13 16:06:05 | INFO     | __main__ | Loading data from C:\Users\user\OneDrive\Documents\AI ML and DS Course NUS\Capstone Project\smart-city-traffic-capstone\data\Metro_Interstate_Traffic_Volume.csv
2026-09-13 16:06:05 | INFO     | __main__ | Loaded 48204 rows and 9 columns
2026-09-13 16:06:05 | INFO     | __main__ | Schema validation passed: all 9 expected columns are present.
2026-09-13 16:06:05 | INFO     | __main__ | 'holiday' already parsed as missing (NaN) for 48143 non-holiday rows (pandas recognised the source CSV's literal 'None' text automatically).
2026-09-13 16:06:05 | WARNING  | __main__ | Standardised casing to lowercase in 1730 rows of 'weather_description' (merging case-variant duplicates such as 'Sky is Clear' / 'sky is clear').
2026-09-13 16:06:05 | INFO     | __main__ | 'weather_description' now has 37 unique values (was 38 before standardisation).
2026-09-13 16:06:05 | INFO     | __main__ | All 48204 values in 'date_time' parsed successfully as datetimes (was dtype 'object').
2026-09-13 16:06:05 | INFO     | __main__ | 'date_time' range: 2012-10-02 09:00:00 to 2018-09-30 23:00:00.
2026-09-13 16:06:05 | WARNING  | __main__ | Removed 17 exact duplicate rows.
2026-09-13 16:06:05 | WARNING  | __main__ | Collapsed 5430 duplicate-timestamp hours (7612 rows removed) down to one row per hour; 0 of these hours had inconsistent traffic_volume across duplicates.
2026-09-13 16:06:05 | WARNING  | __main__ | Found 10 rows with physically impossible 'temp' readings (<= 0 Kelvin).
